Army,UnitNumber,Details,Physical,HitChance,Cost,Limit,Override,HitAlive,Fire DMG,Fire Time,Bleed DMG,Bleed Time,Magic Damage,Poision DMG,Poison Time,Stun Time,Sleep Time,Confusion Time,Petrification Time,RecoverHealth,AddTempHealth,AddHealth,RecoverArmor,RecoverShield,AddArmor,AddShield
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
roman,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,John roman,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,,,,,,,,,,,,,,,,,,,,,,,,
,,AC,,,,,,,,,,,,,,,,,,,,,,,,
,,AR,,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,ability_FlameOn,0_1_2_3,,4,2,ability_FlameOn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,John test 1,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,9,,,,,,,,,,,,,,,,,,,,,,,
,,AC,8,,,,,,,,,,,,,,,,,,,,,,,
,,AR,7-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,6,,,,,,,,,,,,,,,,,,,,,,,
,,TH,5,,,,,,,,,,,,,,,,,,,,,,,
,,AP,4,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Basic 1,4,1d20,1,2,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
,,skill_Skill 2 ,5,1d20+1,2,3,,,,,,,,,,,,,,,,,,,,
,,ability_Action 3,6,1d20+2,3,4,abilityTEST,,,,,,,,,,,,,,,,,,,
,,pasive_Pasive 4,7,1d20+3,,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Flamey Johnny,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,10,,,,,,,,,,,,,,,,,,,,,,,
,,AC,10,,,,,,,,,,,,,,,,,,,,,,,
,,AR,5-2,,,,,,,,,,,,,,,,,,,,,,,
,,SH,2,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,5,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_FLAEM,4,1d20+2,1,,,,4,4,,,,,,,,,,,,,,,,
TEST1,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Peter PokeyBloodStick,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,9,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_PokeyBloodStick,4_5_6_7,1d20+5,1,,Basic_PokeyBloodStick,,,,1d2,,,,,,,,,,,,,,,
,,ability_ShieldBash,4_5_6_7,1d20+2,1,,ability_ShieldBash,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,frank frostbite,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,100,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,passive_Vampiric,,,,,passive_Vampiric,,,,,,,,,,,,,,,,,,,
,,skill_Frostbite,,1d20+5,,,skill_Frostbite,,,,,,4_5_6_7,,,,,,,,,,,,,
,2,Nick necrophile,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,100,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,ability_CorpseSwap,4_5_6_7,,5,2,ability_CorpseSwap,,,,,,,,,,,,,,,,,,,
