Army,UnitNumber,Details,Physical,HitChance,Cost,Limit,Override,HitAlive,Fire DMG,Fire Time,Bleed DMG,Bleed Time,Magic Damage,Poision DMG,Poison Time,Stun Time,Sleep Time,Confusion Time,Petrification Time,RecoverHealth,AddTempHealth,AddHealth,RecoverArmor,RecoverShield,AddArmor,AddShield
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
roman,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,John roman,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,12,,,,,,,,,,,,,,,,,,,,,,,
,,AC,12,,,,,,,,,,,,,,,,,,,,,,,
,,AR,,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,ability_FlameOn,,,4,2,ability_FlameOn,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
TEST,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,John test 1,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,9,,,,,,,,,,,,,,,,,,,,,,,
,,AC,8,,,,,,,,,,,,,,,,,,,,,,,
,,AR,7-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,6,,,,,,,,,,,,,,,,,,,,,,,
,,TH,5,,,,,,,,,,,,,,,,,,,,,,,
,,AP,4,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Basic 1,1d10,1d20,1,2,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17-1,18
,,skill_Skill 2 ,1d5,1d20+1,2,3,,,,,,,,,,,,,,,,,,,,
,,ability_Action 3,1d2,1d20+2,3,4,abilityTEST,,,,,,,,,,,,,,,,,,,
,,pasive_Pasive 4,1d20,1d20+3,,5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,Flamey Johnny,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,10,,,,,,,,,,,,,,,,,,,,,,,
,,AC,10,,,,,,,,,,,,,,,,,,,,,,,
,,AR,5-2,,,,,,,,,,,,,,,,,,,,,,,
,,SH,2,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,5,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_FLAEM,1d4,1d20+2,1,,,,1d4,3,,,,,,,,,,,,,,,,
TEST1,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Peter PokeyBloodStick,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,9,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_PokeyBloodStick,1d4,1d20+5,1,,Basic_PokeyBloodStick,,,,1d2,,,,,,,,,,,,,,,
,,ability_ShieldBash,1d6,1d20+2,,,ability_ShieldBash,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,frank frostbite,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,100,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,passive_Vampiric,,,,,passive_Vampiric,,,,,,,,,,,,,,,,,,,
,,skill_Frostbite,,1d20+5,,,skill_Frostbite,,,,,,3,,,,,,,,,,,,,
,2,Nick necrophile,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,100,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,ability_CorpseSwap,,,5,2,ability_CorpseSwap,,,,,,,,,,,,,,,,,,,
