Army,UnitNumber,Details,Physical,HitChance,Cost,Limit,Override,HitAlive,Fire DMG,Fire Time,Bleed DMG,Bleed Time,Magic Damage,Poision DMG,Poison Time,Stun Time,Sleep Time,Confusion Time,Petrification Time,RecoverHealth,AddTempHealth,AddHealth,RecoverArmor,RecoverShield,AddArmor,AddShield
,,SH,6,,,,,,,,,,,,,,,,,,,,,,,
,,TH,5,,,,,,,,,,,,,,,,,,,,,,,
,,AP,4,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Basic 1,1d10,1d20,1,2,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17-1,18
,,skill_Skill 2,1d5,1d20+1,2,3,,,,,,,,,,,,,,,,,,,,
,,ability_Ability 3,1d2,1d20+2,3,4,abilityTEST,,,,,,,,,,,,,,,,,,,
,,pasive_Pasive 4,1d20,1d20+3,,5,,,,,,,,,,,,,,,,,,,,
,1,Flamey Johnny,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,10,,,,,,,,,,,,,,,,,,,,,,,
,,AC,10,,,,,,,,,,,,,,,,,,,,,,,
,,AR,5-2,,,,,,,,,,,,,,,,,,,,,,,
,,SH,2,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,5,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_FLAEM,1d4,1d20+2,1,,,,1d4,3,,,,,,,,,,,,,,,,
TEST1,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Peter PokeyBloodStick,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,9,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_PokeyBloodStick,1d4,1d20+5,1,,Basic_PokeyBloodStick,,,,1d2,,,,,,,,,,,,,,,
,,Ability_ShieldBash,1d6,1d20+2,,,Ability_ShieldBash,,,,,,,,,,,,,,,,,,,
,1,frank frostbite,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,100,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,passive_Vampiric,,,,,passive_Vampiric,,,,,,,,,,,,,,,,,,,
,,skill_Frostbite,,1d20+5,,,skill_Frostbite,,,,,,3,,,,,,,,,,,,,
,2,Nick necrophile,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,100,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,ability_CorpseSwap,,,5,2,ability_CorpseSwap,,,,,,,,,,,,,,,,,,,
FIGHTCLUB,Value Attached to Unit,Base Stat,Roll to hit,,,,,,Dmg + Time,,Dmg + Time,,Dmg,,,,,,,,,,,,,
,0,Brawler,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,36,,,,,,,,,,,,,,,,,,,,,,,
,,AC,12,,,,,,,,,,,,,,,,,,,,,,,
,,AR,3-2,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,2,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Jab,1d8,1d20+4,1,3,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Haymaker,2d6,1d20+2,3,1,basic_Haymaker,,,,,,,,,,,,,,,,,,,
,,ability_Berserk,,,4,1,ability_Berserk,,,,,,,,,,,,,,,,,,,
,,passive_ThickSkin,,,,,passive_ThickSkin,,,,,,,,,,,,,,,,,,,
,1,Marksman,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,20,,,,,,,,,,,,,,,,,,,,,,,
,,AC,14,,,,,,,,,,,,,,,,,,,,,,,
,,AR,1-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,2,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,3,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Snipe,1d10,1d20+5,1,2,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_PiercingShot,2d8,1d20+3,3,1,skill_PiercingShot,,,,,,,,,,,,,,,,,,,
,,passive_EagleEye,,,,,passive_EagleEye,,,,,,,,,,,,,,,,,,,
,2,Priest,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,28,,,,,,,,,,,,,,,,,,,,,,,
,,AC,17,,,,,,,,,,,,,,,,,,,,,,,
,,AR,2-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,3,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,3,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Smite,1d6,1d20+2,1,,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Heal,,,1,,skill_Heal,,,,,,,,,,,,,10,,,,,,
,,skill_Bless,,,1,,skill_Bless,,,,,,,,,,,,,,4,,,,2,
,,passive_DivineGrace,,,,,passive_DivineGrace,,,,,,,,,,,,,,,,,,,
,3,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,18,,,,,,,,,,,,,,,,,,,,,,,
,,AC,18,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,2,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Backstab,2d4,1d20+6,1,,,TRUE,1d4,2,,,,,,,,,,,,,,,,
,,skill_PoisonDart,,1d20+3,2,1,skill_PoisonDart,,,,,,,1d4,3,,,,,,,,,,,
,,ability_Vanish,,,2,1,ability_Vanish,,,,,,,,,,,,,,,,,,,
,,passive_Shadowstep,,,,,passive_Shadowstep,,,,,,,,,,,,,,,,,,,
,4,Tank,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,60,,,,,,,,,,,,,,,,,,,,,,,
,,AC,18,,,,,,,,,,,,,,,,,,,,,,,
,,AR,5-3,,,,,,,,,,,,,,,,,,,,,,,
,,SH,5,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,2,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_ShieldBash,1d4,1d20+2,1,,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Taunt,,,3,,skill_Taunt,,,,,,,,,2,,,,,,,,,,
,,ability_Fortify,,,3,1,ability_Fortify,,,,,,,,,,,,,,3,,,,3,
,,passive_Stalwart,,,,,passive_Stalwart,,,,,,,,,,,,,,,,,,,
,5,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,16,,,,,,,,,,,,,,,,,,,,,,,
,,AC,13,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,1,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,4,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_MagicBolt,1d6,1d20+3,1,,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Fireball,,1d20+1,4,1,skill_Fireball,,3d6,3,,,,,,,,,,,,,,,,
,,skill_ManaShield,,,2,,skill_ManaShield,,,,,,,,,,,,,,,,,,,3
,,passive_Arcane,,,,,passive_Arcane,,,,,,,,,,,,,,,,,,,
,6,Berserker,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,48,,,,,,,,,,,,,,,,,,,,,,,
,,AC,10,,,,,,,,,,,,,,,,,,,,,,,
,,AR,2-2,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,2,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Rage,1d12,1d20+1,1,5,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Whirlwind,2d6,1d20,3,2,skill_Whirlwind,,,,,,,,,,,,,,,,,,,
,,ability_Bloodlust,,,4,1,ability_Bloodlust,,,,,,,,,,,,,,,,,,,
,,passive_BloodFury,,,,,passive_BloodFury,,,,,,,,,,,,,,,,,,,
,7,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,22,,,,,,,,,,,,,,,,,,,,,,,
,,AC,12,,,,,,,,,,,,,,,,,,,,,,,
,,AR,1-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,2,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,4,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Curse,1d4,1d20+3,1,3,,TRUE,1d4,2,,,,,,,,,,,,,,,,
,,skill_Drain,1d8,1d20+2,3,2,skill_Drain,,,,,,,,,,,,,8,,,,,,
,,ability_Summon,,,5,1,ability_Summon,,,,,,,,,,,,,,,,,,,
,,passive_SoulLeech,,,,,passive_SoulLeech,,,,,,,,,,,,,,,,,,,
,8,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,44,,,,,,,,,,,,,,,,,,,,,,,
,,AC,16,,,,,,,,,,,,,,,,,,,,,,,
,,AR,4-2,,,,,,,,,,,,,,,,,,,,,,,
,,SH,3,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,3,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Smite,1d8,1d20+3,1,3,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_HolyLight,,,2,,skill_HolyLight,,,,,,,,,,,,,12,,,,,,
,,ability_LayOnHands,,,3,1,ability_LayOnHands,,,,,,,,,,,,,15,,,,,,
,,passive_Aura,,,,,passive_Aura,,,,,,,,,,,,,,,,,,,
,9,Archer,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,24,,,,,,,,,,,,,,,,,,,,,,,
,,AC,15,,,,,,,,,,,,,,,,,,,,,,,
,,AR,1-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,3,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_QuickShot,1d6,1d20+4,1,,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Volley,2d4,1d20+2,2,2,skill_Volley,,,,,,,,,,,,,,,,,,,
,,ability_PiercingArrow,1d12,1d20+1,4,1,ability_PiercingArrow,,,,,,,,,,,,,,,,,,,
,,passive_KeenEye,,,,,passive_KeenEye,,,,,,,,,,,,,,,,,,,
