Army,UnitNumber,Details,Physical,HitChance,Cost,Limit,Override,HitAlive,Fire DMG,Fire Time,Bleed DMG,Bleed Time,Magic Damage,Poision DMG,Poison Time,Stun Time,Sleep Time,Confusion Time,Petrification Time,RecoverHealth,AddTempHealth,AddHealth,RecoverArmor,RecoverShield,AddArmor,AddShield
,,AC,8,,,,,,,,,,,,,,,,,,,,,,,
,,AR,7-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,6,,,,,,,,,,,,,,,,,,,,,,,
,,TH,5,,,,,,,,,,,,,,,,,,,,,,,
,,AP,4,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Basic 1,4,1d20,1,2,,,4,2,4,4,4,4,7,4,4,4,4,4,4,4,4,4,4,4
,,skill_Skill 2,5,1d20+1,2,3,,,,,,,,,,,,,,,,,,,,
,,ability_Ability 3,6,1d20+2,3,4,abilityTEST,,,,,,,,,,,,,,,,,,,
,,pasive_Pasive 4,7,1d20+3,,5,,,,,,,,,,,,,,,,,,,,
,1,Flamey Johnny,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,10,,,,,,,,,,,,,,,,,,,,,,,
,,AC,10,,,,,,,,,,,,,,,,,,,,,,,
,,AR,5-2,,,,,,,,,,,,,,,,,,,,,,,
,,SH,2,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,5,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_FLAEM,4,1d20+2,1,,,,4,3,,,,,,,,,,,,,,,,
TEST1,,,,,,,,,,,,,,,,,,,,,,,,,,
,0,Peter PokeyBloodStick,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,9,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_PokeyBloodStick,4_5_6_7,1d20+5,1,,Basic_PokeyBloodStick,,,,1d2,,,,,,,,,,,,,,,
,,Ability_ShieldBash,4_5_6_7,1d20+2,,,Ability_ShieldBash,,,,,,,,,,,,,,,,,,,
,1,frank frostbite,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,100,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,passive_Vampiric,,,,,passive_Vampiric,,,,,,,,,,,,,,,,,,,
,,skill_Frostbite,,1d20+5,,,skill_Frostbite,,,,,,4_5_6_7,,,,,,,,,,,,,
,2,Nick necrophile,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,100,,,,,,,,,,,,,,,,,,,,,,,
,,AC,9,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,0,,,,,,,,,,,,,,,,,,,,,,,
,,AP,0,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,ability_CorpseSwap,4_5_6_7,,5,2,ability_CorpseSwap,,,,,,,,,,,,,,,,,,,
FIGHTCLUB,Value Attached to Unit,Base Stat,Roll to hit,,,,,,Dmg + Time,,Dmg + Time,,Dmg,,,,,,,,,,,,,
,0,Brawler,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,36,,,,,,,,,,,,,,,,,,,,,,,
,,AC,12,,,,,,,,,,,,,,,,,,,,,,,
,,AR,3-2,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,2,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Jab,4_5,1d20+4,1,3,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Haymaker,0x4|1x5|2x6|3x7,1d20+2,3,1,basic_Haymaker,,,,,,,,,,,,,,,,,,,
,,ability_Berserk,,,4,1,ability_Berserk,,,,,,,,,,,,,,,,,,,
,,passive_ThickSkin,,,,,passive_ThickSkin,,,,,,,,,,,,,,,,,,,
,1,Marksman,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,20,,,,,,,,,,,,,,,,,,,,,,,
,,AC,14,,,,,,,,,,,,,,,,,,,,,,,
,,AR,1-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,2,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,3,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Snipe,4_5_6_7,1d20+5,1,2,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_PiercingShot,4_5(50%),1d20+3,3,1,skill_PiercingShot,,,,,,,,,,,,,,,,,,,
,,passive_EagleEye,,,,,passive_EagleEye,,,,,,,,,,,,,,,,,,,
,2,Priest,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,28,,,,,,,,,,,,,,,,,,,,,,,
,,AC,17,,,,,,,,,,,,,,,,,,,,,,,
,,AR,2-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,3,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,3,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Smite,4,1d20+2,1,,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Heal,,,1,,skill_Heal,,,,,,,,,,,,,0x1|1x0|2x1|3x0,,,,,,
,,skill_Bless,,,1,,skill_Bless,,,,,,,,,,,,,,0_1_2_3,,,,0_1_2_3,
,,passive_DivineGrace,,,,,passive_DivineGrace,,,,,,,,,,,,,,,,,,,
,3,Assassin,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,18,,,,,,,,,,,,,,,,,,,,,,,
,,AC,18,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,2,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Backstab,0x4|1x5|2x6|3x7,1d20+6,1,,,TRUE,0x4|1x5|2x6|3x7,2,,,,,,,,,,,,,,,,
,,skill_PoisonDart,,1d20+3,2,1,skill_PoisonDart,,,,,,,4,3,,,,,,,,,,,
,,ability_Vanish,,,2,1,ability_Vanish,,,,,,,,,,,,,,,,,,,
,,passive_Shadowstep,,,,,passive_Shadowstep,,,,,,,,,,,,,,,,,,,
,4,Tank,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,60,,,,,,,,,,,,,,,,,,,,,,,
,,AC,18,,,,,,,,,,,,,,,,,,,,,,,
,,AR,5-3,,,,,,,,,,,,,,,,,,,,,,,
,,SH,5,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,2,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_ShieldBash,4,1d20+2,1,,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Taunt,,,3,,skill_Taunt,,,,,,,,,-1,,,,,,,,,,
,,ability_Fortify,,,3,1,ability_Fortify,,,,,,,,,,,,,,0x0_1|1x0_1|2x1_2|3x2_3,,,,0x0_1|1x0_1|2x1_2|3x2_3,
,,passive_Stalwart,,,,,passive_Stalwart,,,,,,,,,,,,,,,,,,,
,5,Sorcerer,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,16,,,,,,,,,,,,,,,,,,,,,,,
,,AC,13,,,,,,,,,,,,,,,,,,,,,,,
,,AR,0,,,,,,,,,,,,,,,,,,,,,,,
,,SH,1,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,4,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_MagicBolt,4(50%)_5(50%)_6(50%)_7(50%),1d20+3,1,,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Fireball,,1d20+1,4,1,skill_Fireball,,4_5_6_7,3,,,,,,,,,,,,,,,,
,,skill_ManaShield,,,2,,skill_ManaShield,,,,,,,,,,,,,,,,,,,0_1_2_3
,,passive_Arcane,,,,,passive_Arcane,,,,,,,,,,,,,,,,,,,
,6,Berserker,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,48,,,,,,,,,,,,,,,,,,,,,,,
,,AC,10,,,,,,,,,,,,,,,,,,,,,,,
,,AR,2-2,,,,,,,,,,,,,,,,,,,,,,,
,,SH,,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,2,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Rage,4_5_6_7,1d20+1,1,5,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Whirlwind,0x4_5|1x5_6|2x6_7|3x7_4,1d20,3,2,skill_Whirlwind,,,,,,,,,,,,,,,,,,,
,,ability_Bloodlust,,,4,1,ability_Bloodlust,,,,,,,,,,,,,,,,,,,
,,passive_BloodFury,,,,,passive_BloodFury,,,,,,,,,,,,,,,,,,,
,7,Warlock,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,22,,,,,,,,,,,,,,,,,,,,,,,
,,AC,12,,,,,,,,,,,,,,,,,,,,,,,
,,AR,1-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,2,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,4,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Curse,4_5,1d20+3,1,3,,TRUE,4_5,2,,,,,,,,,,,,,,,,
,,skill_Drain,4_5_6_7,1d20+2,3,2,skill_Drain,,,,,,,,,,,,,0,,,,,,
,,ability_Summon,,,5,1,ability_Summon,,,,,,,,,,,,,,,,,,,
,,passive_SoulLeech,,,,,passive_SoulLeech,,,,,,,,,,,,,,,,,,,
,8,Paladin,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,44,,,,,,,,,,,,,,,,,,,,,,,
,,AC,16,,,,,,,,,,,,,,,,,,,,,,,
,,AR,4-2,,,,,,,,,,,,,,,,,,,,,,,
,,SH,3,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,3,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_Smite,4,1d20+3,1,3,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_HolyLight,,,2,,skill_HolyLight,,,,,,,,,,,,,0_1_2_3,,,,,,
,,ability_LayOnHands,,,3,1,ability_LayOnHands,,,,,,,,,,,,,0x0|1x1|2x2|3x3,,,,,,
,,passive_Aura,,,,,passive_Aura,,,,,,,,,,,,,,,,,,,
,9,Archer,,,,,,,,,,,,,,,,,,,,,,,,
,,HP,24,,,,,,,,,,,,,,,,,,,,,,,
,,AC,15,,,,,,,,,,,,,,,,,,,,,,,
,,AR,1-1,,,,,,,,,,,,,,,,,,,,,,,
,,SH,0,,,,,,,,,,,,,,,,,,,,,,,
,,TH,,,,,,,,,,,,,,,,,,,,,,,,
,,AP,3,,,,,,,,,,,,,,,,,,,,,,,
,,Actions,,,,,,,,,,,,,,,,,,,,,,,,
,,basic_QuickShot,6_7,1d20+4,1,,,TRUE,,,,,,,,,,,,,,,,,,
,,skill_Volley,4(75%)_5(75%)_6(75%)_7(75%),1d20+2,2,2,skill_Volley,,,,,,,,,,,,,,,,,,,
,,ability_PiercingArrow,4(100%)_5(75%)_6(50%)_7(25%),1d20+1,4,1,ability_PiercingArrow,,,,,,,,,,,,,,,,,,,
,,passive_KeenEye,,,,,passive_KeenEye,,,,,,,,,,,,,,,,,,,
